product_url,product_id,product_name,product_price,product_old_price,product_discount,product_brand,product_category,product_image,image_width,image_height,shipping_type,rating_percent,num_of_ratings
https://www.jumia.com.ng/oppo-enco-w31-bluetooth-earbuds-white-77823535.html,OP896EA0VVE8DNAFAMZ,Enco W31 Bluetooth Earbuds (White),29000,29900,3%,Oppo,Phones & Tablets/Accessories/Wired Headsets,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/532877/1.jpg?6438,208,208,,80%,4 out of 5(1)
https://www.jumia.com.ng/oppo-reno-5-6.4-amoled-128gb-rom-8gb-ram-64mp8mp2mp2mp-rear-44mp-selfie-camera-4310mah-starry-black-71909919.html,OP896MP1IRON9NAFAMZ,"Reno 5, 6.4"" AMOLED, 128GB ROM + 8GB RAM, 64MP+8MP+2MP+2MP Rear + 44MP Selfie Camera, 4310mAh - Starry Black",211000,,,Oppo,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/990917/1.jpg?8329,208,208,,80%,4 out of 5(1)
https://www.jumia.com.ng/oppo-a74-4g-soft-silicon-back-casefree-screen-guard-84088196.html,OP896EA156XU8NAFAMZ,A74 4G Soft Silicon Back Case+Free Screen Guard,3500,6000,42%,Oppo,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/188048/1.jpg?6356,208,208,,80%,4 out of 5(1)
https://www.jumia.com.ng/oppo-a93-silicon-back-case-screen-protector-77792300.html,OP896EA0072GHNAFAMZ,A93 Silicon Back Case + Screen Protector,4000,7000,43%,Oppo,Phones & Tablets/Accessories/Cases/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/329777/1.jpg?9104,208,208,,80%,4 out of 5(1)
https://www.jumia.com.ng/oppo-vooc-flash-charge-4.0-82876533.html,OP896EA0JZH3ONAFAMZ,VOOC Flash Charge 4.0,7200,,,Oppo,Phones & Tablets/Accessories/Chargers & Power Adapters/Wall Chargers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/567828/1.jpg?7636,208,208,,80%,4 out of 5(1)
https://www.jumia.com.ng/oppo-reno-5-6.4-amoled-128gb-rom-8gb-ram-64mp8mp2mp2mp-rear-44mp-selfie-camera-4310mah-fantasy-silver-71909921.html,OP896MP07QFUTNAFAMZ,"Reno 5, 6.4"" AMOLED, 128GB ROM + 8GB RAM, 64MP+8MP+2MP+2MP Rear + 44MP Selfie Camera, 4310mAh - Fantasy Silver",211000,,,Oppo,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/990917/1.jpg?8329,208,208,,70%,3.5 out of 5(2)
https://www.jumia.com.ng/oppo-quality-oppo-f11-pro-flip-stand-clear-view-case-77355575.html,OP896EA0Y9M0HNAFAMZ,Quality Oppo F11 Pro Flip Stand Clear View Case -,3500,5000,30%,Oppo,Phones & Tablets/Accessories/Cases/Flip Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/555377/1.jpg?6454,208,208,,60%,3 out of 5(1)
https://www.jumia.com.ng/charger-adapter-ak717-oppo-mpg219532.html,OP896EL0ANLVBNAFAMZ,Charger Adapter AK717,3700,,,Oppo,Phones & Tablets/Accessories/Chargers & Power Adapters,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/897591/1.jpg?9018,208,208,,20%,1 out of 5(1)
https://www.jumia.com.ng/oppo-a12-flip-stand-clear-view-case-81158134.html,OP896EA0PPLUMNAFAMZ,A12 Flip Stand Clear View Case,3500,5000,30%,Oppo,Phones & Tablets/Accessories/Cases/Flip Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/185118/1.jpg?8335,208,208,,20%,1 out of 5(1)
https://www.jumia.com.ng/oppo-a15-silicon-back-case-black-79566068.html,OP896EA1F8PETNAFAMZ,A15 Silicon Back Case - Black,2850,3000,5%,Oppo,Phones & Tablets/Accessories/Cases/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/066597/1.jpg?4545,208,208,,20%,1 out of 5(1)
https://www.jumia.com.ng/oppo-a54-crystal-black-6.51-4gb-ram-128gb-rom-16mp-selfie-camera-13mp2mp2mp-rear-camera-5000mah-88759776.html,OP896MP14D3KCNAFAMZ,"A54, Crystal Black, 6.51"", 4GB RAM 128GB ROM, 16MP Selfie Camera  13MP+2MP+2MP Rear Camera, 5000mAh",107000,129900,18%,Oppo,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/795788/1.jpg?7233,208,208,,,
https://www.jumia.com.ng/oppo-reno-5-starry-black-6.4-8gb-ram-128gb-rom-64822mp-rear-44mp-selfie-dual-sim-4310mah-battery-88705943.html,OP896MP0KT478NAFAMZ,"Reno 5 Starry Black, 6.4"", 8gb Ram 128gb Rom, 64+8+2+2MP Rear, 44MP Selfie, Dual Sim, 4310mAh Battery",199900,215595,7%,Oppo,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/950788/1.jpg?9914,208,208,,,
https://www.jumia.com.ng/oppo-reno-5-fantasy-silver-6.4-8gb-ram-128gb-rom-64822mp-rear-44mp-selfie-dual-sim-4310mah-battery-88705800.html,OP896MP00I8H0NAFAMZ,"Reno 5 Fantasy Silver, 6.4"", 8gb Ram 128gb Rom, 64+8+2+2MP Rear, 44MP Selfie Dual Sim 4310mAh Battery",199900,215595,7%,Oppo,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/850788/1.jpg?9815,208,208,,,
https://www.jumia.com.ng/oppo-a54-starry-blue-6.51-4gb-ram-128gb-rom-16mp-selfie-camera-13mp2mp2mp-rear-camera-5000mah-88759640.html,OP896MP02SNAKNAFAMZ,"A54, Starry Blue, 6.51"", 4GB RAM 128GB ROM, 16MP Selfie Camera  13MP+2MP+2MP Rear Camera, 5000mAh",107000,120000,11%,Oppo,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/695788/1.jpg?7141,208,208,,,
https://www.jumia.com.ng/oppo-reno-5-f-fantastic-purple-6.4-8gb-ram-128gb-rom-64822mp-rear-44mp-selfie-dual-sim-4025-mah-battery-88705277.html,OP896MP19ZR38NAFAMZ,"Reno 5 F Fantastic Purple, 6.4"", 8gb Ram 128gb Rom, 64+8+2+2MP Rear, 44MP Selfie Dual Sim 4025 Mah Battery",154000,199595,23%,Oppo,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/250788/1.jpg?0994,208,208,,,
https://www.jumia.com.ng/oppo-a74-prism-black-6.43-6gb-ram-128gb-rom-48mp-ai-triple-camera-5000mah-88706439.html,OP896MP1JN6T0NAFAMZ,"A74, Prism Black, 6.43"", 6GB RAM 128GB ROM, 48MP AI Triple Camera, 5000mAh",136000,145900,7%,Oppo,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/460788/1.jpg?1713,208,208,,,
https://www.jumia.com.ng/oppo-a54-starry-blue-6.51-4gb-ram-128gb-rom-16mp-selfie-camera-13mp2mp2mp-rear-camera-5000mah-77165322.html,OP896MP0DB64XNAFAMZ,"A54, Starry Blue, 6.51"", 4GB RAM 128GB ROM, 16MP Selfie Camera  13MP+2MP+2MP Rear Camera, 5000mAh",107000,120000,11%,Oppo,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/356177/1.jpg?5912,208,208,,,
